offer_id,product,category,ingredient,count,type
48809587016010,Luxury Pure White Wreath - 14 Inch,4,Gypsophila,15,stems count
48809587048778,Luxury Purple Flowers Wreath - 16 Inch,4,Tulip,3,stems count
48809587048778,Luxury Purple Flowers Wreath - 16 Inch,4,Orchid,4,stems count
48809587048778,Luxury Purple Flowers Wreath - 16 Inch,4,Calla Lily,5,stems count
48809587048778,Luxury Purple Flowers Wreath - 16 Inch,4,Berry,8,stems count
48809587048778,Luxury Purple Flowers Wreath - 16 Inch,4,Eucalyptus,6,stems count
48809587081546,Luxury Pure White Wreath - 16 Inch,4,Rose,12,stems count
48809587081546,Luxury Pure White Wreath - 16 Inch,4,Gerbera,8,stems count
48809587081546,Luxury Pure White Wreath - 16 Inch,4,Hydrangea,5,stems count
48809587081546,Luxury Pure White Wreath - 16 Inch,4,Baby's-breath,15,stems count
48809587081546,Luxury Pure White Wreath - 16 Inch,4,Gypsophila,15,stems count
48809587114314,Peony Perfection - 20 Stems,1,Peony,20,stems count
48809587147082,Peony Perfection - 25 Stems,1,Peony,25,stems count
48809587179850,Luxury Wreath with Red Roses,4,Rose,16,stems count
48809587179850,Luxury Wreath with Red Roses,4,Hypericum,14,stems count
48809587179850,Luxury Wreath with Red Roses,4,Foliage,18,stems count
48809587212618,Luxury Heart of Pink Roses - Regular,4,Rose,45,stems count
48809587212618,Luxury Heart of Pink Roses - Regular,4,Amaranthus,8,stems count
48809587245386,Pink and White Wreath - 12 Inch,4,Rose,16,stems count
48809587245386,Pink and White Wreath - 12 Inch,4,Hydrangea,5,stems count
48809587245386,Pink and White Wreath - 12 Inch,4,Lily,4,stems count
48809587245386,Pink and White Wreath - 12 Inch,4,Lisianthus,6,stems count
48809587245386,Pink and White Wreath - 12 Inch,4,Gypsophila,7,stems count
48809587245386,Pink and White Wreath - 12 Inch,4,Baby's-breath,8,stems count
48809587278154,Luxury Heart of Pink Roses - Large,4,Rose,45,stems count
48809587278154,Luxury Heart of Pink Roses - Large,4,Amaranthus,8,stems count
48809587310922,Red Rose and Ivy Wreath - 12 Inch,4,Rose,12,stems count
48809587310922,Red Rose and Ivy Wreath - 12 Inch,4,Hypericum,6,stems count
48809587310922,Red Rose and Ivy Wreath - 12 Inch,4,Chrysanthemum,8,stems count
48809587343690,Pink and White Wreath - 14 Inch,4,Rose,16,stems count
48809587343690,Pink and White Wreath - 14 Inch,4,Hydrangea,5,stems count
48809587343690,Pink and White Wreath - 14 Inch,4,Lily,4,stems count
48809587343690,Pink and White Wreath - 14 Inch,4,Lisianthus,6,stems count
48809587343690,Pink and White Wreath - 14 Inch,4,Gypsophila,7,stems count
48809587343690,Pink and White Wreath - 14 Inch,4,Baby's-breath,8,stems count
48809587409226,Red Rose and Ivy Wreath - 14 Inch,4,Rose,12,stems count
